Bedriftsnavn,Adresse,Postnummer,Poststed,Godkjenningstyper,Organisasjonsnummer,Godkjenningsnummer
WULLUMSGÅRDEN AUTOSENTER AS,BREIDABLIKVEIEN 136,7020,TRONDHEIM,HJUL,955630599,29732
Motor- Trade AS,Østre Rosten 8,7075,TILLER,"ALKOLASVERKSTED, BILVERKSTED01B, KONTROLLORGAN01B",980352706,8042
Erik Nordahl Bilsport,Vearveien 4,3440,RØYKEN,"BILVERKSTED01B, TRAKTOR",986113746,24161
BRENNHAUGEN BIL,Sigdalsveien 3940,3358,NEDRE EGGEDAL,HJUL,997735501,31487
HØIEN SERVICESENTER AS,HAUKLANDSV. 22,4460,MOI,HJUL,964121966,29498
HAGEN CARAVAN AS,Gudbrandsdalsvegen 1987,2630,RINGEBU,"HENGERESPALOPSBREMSEANLEGG, HJUL",927437228,30290
NILS RAGNAR THORSEN,HOJEMSVEGEN 311,7609,LEVANGER,"BILVERKSTED01, MOTORSYKKELOGMOPED",992142375,30658
Star Bilskade Agder AS,Stoaveien 33,4848,Arendal,SKADEVERKSTED02,966356359,5351
Nordic Last & Buss AS avd. Bodø,Munnarvollvn.3,8030,BODØ,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, TRAKTOR",979463332,9012
Auto Sportiva AS,Tempevegen 35,7037,TRONDHEIM,"BILVERKSTED01, KONTROLLORGAN01",993263990,14598
Gulli Bilsenter AS,Barkåkerveien 85,3157,Barkåker,"BILVERKSTED01, KONTROLLORGAN01",990779236,4386
MURBIL A/S,Strandgata 23,6150,Ørsta,"BILVERKSTED01B, MOTORSYKKELOGMOPED",914433460,7500
Sulland Jessheim A/S,Energiveien 13,2069,JESSHEIM,"BILVERKSTED01B, KONTROLLORGAN01B",984259565,1229
N TIMENES & SØN AS avd. Vennesla,Moseidmoen 54,4700,VENNESLA,HJUL,945292075,32224
Kjell Ore AS,Oreveien 21,4560,VANSE,"BILVERKSTED01, HJULUTRUSTNING, KONTROLLORGAN01, SKADEVERKSTED02",951346780,5771
Mobile Jessheim AS,Energiveien 14,2069,JESSHEIM,"BILVERKSTED01, KONTROLLORGAN01",996493717,17940
ARENDAL DEKKSERVICE AS,Molandsveien 339 seksjon 7,4849,ARENDAL,HJUL,828962612,32417
BILSENTERET R 2 AS,Herbergåsen,2166,Oppaker,"BILVERKSTED01, KONTROLLORGAN01",887450412,1203
AUTOEXPERTEN LAMBERTSETER AS,CECILIE THORESENS VEI 7,1153,OSLO,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",917410666,31825
Vestnes Bilverksted AS,Buktavegen 15,6390,VESTNES,"BILVERKSTED01B, KONTROLLORGAN01B",999668623,23588
HADELAND AUTOLAKK AS,Dales Veg 35,2770,JAREN,SKADEVERKSTED01,920564313,32055
Værøy Auto AS,Vågen 9,8063,Værøy,"BILVERKSTED01B, KONTROLLORGAN01B, TRAKTOR",957878040,9018
FAGERNES AUTO AS,Morenevegen 26,9027,RAMFJORDBOTN,BILVERKSTED01,928570606,32061
Namsos Maskin AS,Navarvegen 23,7820,SPILLUM,"KONTROLLORGAN05, MOTORSYKKELOGMOPED, TRAKTOR",941435890,18559
Berg`s Automatservice AS,ØSTRE AKER VEI 206F,975,OSLO,"BILVERKSTED01B, KONTROLLORGAN01B",982561531,1328
TREKANTEN BILVASK OG BILPLEIE AS,KNUD ASKERS VEI 26,1383,ASKER,HJUL,926303589,30955
Ottestad Bilverksted a/s,Stangebyveien 17,3140,NØTTERØY,"BILVERKSTED01, KONTROLLORGAN01",812045482,4316
KURT RONNY SKAVDAL,Markabygdveien 1142,7560,VIKHAMMER,"EKSOSANLEGG, HENGERESPALOPSBREMSEANLEGG, HJUL, LYSUTSTYR",988195065,29744
TYRISTRAND AUTO AS,BRUGSJORDET 1,3533,TYRISTRAND,"BILVERKSTED01, KONTROLLORGAN01",919415797,30510
Intakt Bilskade Trondheim AS,Bjørndalen 3,7028,TRONDHEIM,SKADEVERKSTED02,995238306,16639
Auto Teknikk Kolbotn AS,Sam Eydesvei 5b,1412,SOFIEMYR,"BILVERKSTED01B, KONTROLLORGAN01B",988669954,14798
SAMUELSEN MASKIN AS,MALMEFJORDENVEGEN 236,6445,MALMEFJORDEN,HJUL,935983231,30137
TORE GULBRANDSEN BILFORMIDLING,RINGERIKSVEIEN 18,3414,LIERSTRANDA,HJUL,961193931,30133
ARNT BILSERVICE AS,Båtholveien 170,8659,MOSJØEN,"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED",817553222,30121
BERGAN & STÅLAND AS,GUNNAR KNUTSENSVEI 32,3712,SKIEN,HJUL,981353358,30090
NAF SENTER KONGSBERG,Industriveien 1,3610,KONGSBERG,"BILVERKSTED01, KONTROLLORGAN01",987372540,3981
Unibuss AS avd. Alnabru,Strømsveien 196/198,614,OSLO,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN04, SKADEVERKSTED01",985615616,1543
KJARTAN MOE DEKKSALG AS,Mo 86,8908,BRØNNØYSUND,HJUL,919850345,30632
Larsen Bil AS,Lundeveien 56,4900,Tvedestrand,"BILVERKSTED01, KONTROLLORGAN01",957013066,5307
Ådnekvam Mekaniske Verksted AS,Salhusvegen 55,5131,NYBORG,"BILVERKSTED01B, KONTROLLORGAN01B",959604215,6650
GAUPNE BIL & OPPRETTING AS,GAUPNE,6868,GAUPNE,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED01",968267299,7240
Tuven Bilservice AS,Semsvegen 50,3676,NOTODDEN,"BILVERKSTED01, KONTROLLORGAN01",920553303,30769
Snertingdal Bil og Bilpleie AS,Snertingdalvegen 1748,2838,SNERTINGDAL,"BILVERKSTED01, KONTROLLORGAN01",912470334,27841
Trondsen Auto AS,Håndverkerveien 4B,9018,Tromsø,"BILVERKSTED01B, KONTROLLORGAN01B",927088649,9553
Skien Automobilverksted AS,Gvarvgt.11,3717,SKIEN,BILVERKSTED01,984628528,4812
Hagen og Tveit Karosseri AS,Tjønnvoll Industriområde 3,4701,VENNESLA,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",926419374,5735
"SNAP DRIVE AS, avd. Byåsen",Selsbakkvegen 36A,7027,TRONDHEIM,"BILVERKSTED01, KONTROLLORGAN01",971585188,30923
Wold & Borgersen AS,Lillåsgata 5,3340,ÅMOT,"BILVERKSTED01B, KONTROLLORGAN01B",979681151,3311
Autoservice Fredrikstad AS,Bruket 39,1621,GRESSVIK,"BILVERKSTED01, KONTROLLORGAN01",979612664,328
Lillehammer Bilverksted AS,Storgata 136,2615,LILLEHAMMER,BILVERKSTED01,912153797,25642
Olsen Auto Jessheim AS,Asfaltvegen 3,2069,JESSHEIM,"BILVERKSTED01, KONTROLLORGAN01",811717142,26961
Midt-Norge Maskinsenter AS avd. Oppdal,Trondheimsveien 10,7340,OPPDAL,TRAKTOR,936968678,16258
M Nordvik AS avd. Mosjøen,Øyfjellgata 12,8656,MOSJØEN,"BILVERKSTED01B, KONTROLLORGAN01B",960852338,31346
B. Johansen Bilservice,Sjyveien 1,9372,Gibostad,BILVERKSTED01,980155498,9811
CHRISTENSEN BILLAKKERING,Industriveien 13,3300,HOKKSUND,BILGLASS,988810568,29664
"Møller Bil Innlandet AS, Møller Bil Gran",Mohagalia 2,2770,JAREN,"BILVERKSTED01B, KONTROLLORGAN01",976951336,2909
NARDO BIL AS,Theodor Overwiens veg 2,7055,RANHEIM,"BILVERKSTED01B, KONTROLLORGAN01B",934761472,30465
Harila Vadsø AS,Tanaveien 8,9800,VADSØ,"BILVERKSTED01B, KONTROLLORGAN01",965445439,9705
GRÅMYRA BIL OG FRITID AS,Gråmyrvegen 30,7608,LEVANGER,"BILVERKSTED01, KONTROLLORGAN01",914154944,27641
Harila Bil og Deler,Ramstadløkka 10,1850,Mysen,"BILVERKSTED01, KONTROLLORGAN01",969061015,216
BIL OG MASKIN AS,AUSTERTANAVEIEN 4331,9845,TANA,HJUL,956571928,30662
Star Bil AS,TROMMEDALSVEGEN 239,3735,SKIEN,"BILVERKSTED01, KONTROLLORGAN01",995494698,28271
Møller Bil Trøndelag AS avd. Møller Bil Orkdal,Tiltaksvegen 1,7300,ORKANGER,"BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01, SKADEVERKSTED02",834874482,8324
NAF Senter Narvik,Floveien 1,8520,ANKENES,"BILVERKSTED01, KONTROLLORGAN01",987372540,9203
HAUGALAND VIDEREGÅENDE SKOLE,Spannavegen 38,5531,HAUGESUND,BILVERKSTED01,974624486,29922
CF Maskin AS,Marmorveien 2,1816,SKIPTVET,"KONTROLLORGAN05, TRAKTOR",948260484,21799
HURTIGRUTA CARGLASS AS AVD DOKKA,Storgata 29,2870,DOKKA,BILGLASS,928565599,32144
RS DEKK AS,MONGSTADVEGEN 1006,5954,MONGSTAD,HJUL,996199061,29486
Auto Service  (Valle),Nordbergvegen 218,4747,Valle,BILVERKSTED01,835488772,5343
Bil-Service Personbiler AS avd. Verksted Bilspiten,Industriveien 11,3610,KONGSBERG,"BILVERKSTED01, KONTROLLORGAN01",975933601,31357
Lye Bil AS,Prestegårdsmarka 1,4340,BRYNE,"BILVERKSTED01, KONTROLLORGAN01",988720461,6182
HØGLI BILSKADE AS,Bedriftsvegen 36,3735,SKIEN,"SKADEVERKSTED01, SKADEVERKSTED02",829151502,31707
HASAN BIL SERVICE,STORMYRVEIEN 50,8008,BODØ,BILVERKSTED01,926703412,31826
IMTAS PROSJEKT AS,Svenskveien 100,8610,MO I RANA,HENGERESPALOPSBREMSEANLEGG,987309113,30429
PORSCHE CENTER ÅLESUND AS,Puskholevegen 44,6012,ÅLESUND,"BILVERKSTED01, KONTROLLORGAN01",818145802,30329
Solveien Bil AS,Solveien 22A,1533,Moss,"BILVERKSTED01B, KONTROLLORGAN01B",950565039,540
RIIS MONTASJE AS AVD. BEKKESTUA,Gamle Ringeriksvei 34,1357,BEKKESTUA,BILGLASS,921979436,31827
S Holand Bilverksted AS,Kampen 19,9440,EVENSKJER,"BILVERKSTED01B, KONTROLLORGAN01B",928260127,9431
FRØYA AUTO AS,Nabeitveien 1,7263,HAMARVIK,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",947619020,8302
Leere's Motorsport A/S,Mossev. 47,1610,Fredrikstad,MOTORSYKKELOGMOPED,829275252,346
"Rental Group Service AS, avd. Solbergelva",TEGLVERKSVEIEN 100,3057,SOLBERGELVA,BILVERKSTED03,934176472,30438
DOCTOR GLASS AS,Vandugbakken 18,1850,MYSEN,BILGLASS,916570155,32016
Bring Warehousing AS,Berghagan 7,1405,LANGHUS,"BILVERKSTED03, KONTROLLORGAN03",821465222,1658
LAKSELV AUTOSENTER AS,Georg Bjørklis vei 1,9700,LAKSELV,HJUL,983825443,28154
DEKKTEAM AS avd Trysil,Vestsidevegen 56,2420,TRYSIL,HJUL,870897332,31420
FAUSKE STORBILSENTER AS,Follaveien 88,8208,FAUSKE,HJUL,924752084,31973
DEKKSENTERET HASSINGEN AS,HASSINGVEIEN 32,1605,FREDRIKSTAD,HJUL,916508107,31990
Hellestø Karosseri AS,Vingvegen 3,4050,SOLA,SKADEVERKSTED02,885785492,6177
Indre Arna Biloppretting as,Storaneset 43,5260,INDRE ARNA,SKADEVERKSTED02,961117526,6501
MAN TRUCK & BUS NORGE AS avd Bergen,Nordre Brurås 43,5131,NYBORG,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04",824387842,31625
NOBINA AS Lillestrøm,Leiraveien 12,2000,LILLESTRØM,"BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN03",915768237,31241
DEKKCENTERET BERGEN AS,Tellnes Næringspark 28,5357,FJELL,HJUL,985737614,29819
BERNTSEN BIL & MOTOR AS,Sultindvikveien 5,9302,ROSSFJORDSTRAUMEN,"BILVERKSTED01, KONTROLLORGAN01",924671378,31539
M Nordvik AS avd. Ranenget,Ranenget 1,8626,MO I RANA,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01, KONTROLLORGAN02, KONTROLLORGAN03, TRAKTOR",960852338,8906
Bjørkkjærs Auto AS,Ole Halvorsens vei 921,3788,STABBESTAD,"BILVERKSTED01, KONTROLLORGAN01",991447075,4895
Madla Bil AS,Treskeveien 5,4043,HAFRSFJORD,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",987768088,6159
CARGLASS AS AVD FREDRIKSTAD SENTRUM,Apenes gate 16,1607,FREDRIKSTAD,BILGLASS,992940581,31184
SKJEVIK BILSERVICE EINAR HÅSETH,Baklivegen 1,6450,HJELSET,BILVERKSTED01,924471816,31426
Peder Orø Skar,Skar,6628,MEISINGSET,"BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED",969857316,7836
Midtstøl Transport AS,Stoaveien 19,4848,ARENDAL,PABYGGER,914290864,22920
Kultorp Bilservice AS,Fjellfoten 12 A,1734,Hafslundsøy,"BILVERKSTED01B, KONTROLLORGAN01B",922341451,123
DEKK1 AS avd. Proff Oslo,Ensjøveien 12 D,655,OSLO,HJUL,979579292,31880
Braseth Bil & Motorsport,Kringlavegen 535,7710,Sparbu,BILVERKSTED01,988946524,8675
Engs Bil og Deler A/S,Marisagveien 3,2390,MOELV,"BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED",851115862,2022
Møller bil Skadesenter Ålesund,Brusdalsveien 201,6011,ÅLESUND,SKADEVERKSTED02,921494866,32323
Avd. Bobil og Nyttekjøretøy,Kløftaveien 104,1454,FAGERSTRAND,"BILVERKSTED01B, KONTROLLORGAN01B",838282172,32000
Hurtigruta Carglass Askøy,Ravnangervegen 187B,5309,KLEPPESTØ,BILGLASS,985758220,31362
MOTOR FORUM AS BERGEN,Øvre Kråkenes 51,5152,BØNES,"BILVERKSTED01B, KONTROLLORGAN01, SKADEVERKSTED02",931806858,6588
TORLAND MASKIN AS,Bøvegen 8,4365,NÆRBØ,TRAKTOR,989423940,30075
"Skien Kommune byutvikling, drift og kultur",Rødmyrlia 40,3716,SKIEN,"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04",974640686,4814
Erling Winje A/S,Industriveien 9 b,6517,KRISTIANSUND N,"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED",981138872,7815
Bil-Doktoren,Lyshaugveien 132,1825,TOMTER,BILVERKSTED01,970357017,24780
FINNYS DEKK AS,Husvollen 2A,4517,MANDAL,HJUL,928303349,32347
HARALD FAGERENG'S GARAGE,FREDLY,8186,TJONGSFJORDEN,HJUL,994155830,30863
Lakkspesialisten AS,Kalplassen,2920,LEIRA,SKADEVERKSTED02,979573146,3220
HAMAR BILVERKSTED AS,KAPPVEGEN 31,2322,RIDABU,"BILVERKSTED01, KONTROLLORGAN01",918738363,30409
DISENÅ AUTO AS,DISENÅVEGEN 1161,2114,DISENÅ,BILVERKSTED01,923773061,31386
DEKKPROFF AS avd. Bergen,Liamyrane 1,5132,NYBORG,HJUL,916725558,32127
THANSEN AS avd. Fredrikstad,Hans Nielsen Hauges vei 1,1661,ROLVSØY,HJUL,923897682,31700
Åmot Bil A/S,Industrigata 15,4480,Kvinesdal,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",958474490,5844
Furnes Traktorsenter AS,Furnesvegen 221,2319,HAMAR,"KONTROLLORGAN05, TRAKTOR",987098112,23781
Rent A Car Moskenes,SAKRISØYA 20,8390,REINE,HJUL,988009431,31264
EIDSVÅG AUTO AS,Eidsvågbakken 21,5105,EIDSVÅG I ÅSANE,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED01",923696679,6598
TORES DEKKSERVICE AS,Krokatjønnveien 11,5147,FYLLINGSDALEN,HJUL,919387335,32245
BATTERI ELEKTRO AS,FROLANDSVEIEN 118,4848,ARENDAL,"BILVERKSTED01, KONTROLLORGAN01",914008573,28914
Ski Auto AS,Teglveien 15,1400,SKI,"BILVERKSTED01, KONTROLLORGAN01",979527950,815
RAUDSAND BILVERKSTED AS,RAUDSANDVEGEN 402,6462,RAUDSAND,"BILVERKSTED01, KONTROLLORGAN01",818041772,30204
M NORDVIK AS avd Bjerka,Strandgata 12,8643,BJERKA,"BILVERKSTED01, KONTROLLORGAN01",960852338,31956
Suldal Billakkering AS,Sandeidvegen 355,5585,Sandeid,"BILVERKSTED01, SKADEVERKSTED02",922261083,6460
Dekkmesteren AS avd. Tønsberg,Meierigaten 1,3112,TØNSBERG,HJUL,999325882,30763
Volvo Truck Center Gardermoen,Hovinmovegen 18,2060,GARDERMOEN,"ALKOLASVERKSTED, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01B, KONTROLLORGAN02, KONTROLLORGAN03, PABYGGER, SKADEVERKSTED01",910712799,1084
MOBILE ENSJØ AS,Gladengveien 9,602,OSLO,"BILVERKSTED01, KONTROLLORGAN01",974210215,13456
WANGEN LAKK OG KAROSSERI,Nuggursvegen 220,2219,BRANDVAL,SKADEVERKSTED01,982940206,29449
Rolf Wee Transport AS avd. Påbygg,Frakkagjerdvegen 127,5563,Frakkagjerd,PABYGGER,970998136,6375
BERGHS KAROSSERIVERKSTED,Bruksgata 21,3320,VESTFOSSEN,SKADEVERKSTED02,970206647,3944
Toyota Asker og Bærum AS avd. Rud,Olav Ingstads vei 7,1351,RUD,"BILVERKSTED01, KONTROLLORGAN01",950272899,903
AUTOIN BILSKADE AS avd Bergen,Liamyrane 15,5132,NYBORG,SKADEVERKSTED02,946171700,31256
ROGALAND AUTO AS,SKIPPERGATA 116,4328,SANDNES,BILVERKSTED01,916854366,29940
KJETIL MÆHLUM REP. VERKSTED,Heimtunvn. 6,2608,LILLEHAMMER,BILVERKSTED01B,970043152,2661
BJØRNAFJORDEN AUTO AS,Industrivegen 50,5210,OS,"BILVERKSTED01, KONTROLLORGAN01",926563815,31780
Bilbyen Skadesenter Alta AS,Vepseveien 11,9514,ALTA,SKADEVERKSTED02,979910916,9608
RØHNESELMER AS avd Asker og Bærum,Stasjonsveien 20,1396,BILLINGSTAD,"BILVERKSTED01B, KONTROLLORGAN01B",933823970,905
NAF Senter  Ålesund,Storevågen 70,6020,Ålesund,"BILVERKSTED01, KONTROLLORGAN01",987372540,7303
"MOTOR-TRADE AS, avd. Verdal",Russervegen 2,7652,VERDAL,"ALKOLASVERKSTED, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN01, KONTROLLORGAN02, KONTROLLORGAN03",980352706,8568
SENTERET AS,KROSSMOVEIEN 80,4373,EGERSUND,HJUL,996776360,31618
Solberg Bil AS,Vestre Buktenveg 11-13,3736,SKIEN,"BILVERKSTED01, KONTROLLORGAN01",928103277,19719
Re-Auto,Hvitsteinveien 130,3174,Revetal,"BILVERKSTED01B, KONTROLLORGAN01B",970900446,4392
ÅS GLASSMESTERFORRETNING AS,Verpetveien 32,1540,VESTBY,BILGLASS,975962121,28371
PETTERS AUTOSHOP AS,STRANDSENTERET,9350,SJØVEGAN,"BILVERKSTED01, HJUL, KONTROLLORGAN01",950919825,30724
TCR Norway AS,Trygve Grans veg 3,2060,GARDERMOEN,"BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, SKADEVERKSTED01, TRAKTOR",997755391,26144
CARGLASS AS AVD STORD,ENSJØVEIEN 17,655,OSLO,BILGLASS,923202676,31367
VIKEN BIL TEKNIKK AS,GAMLE LOMMEDALSVEI 113,1348,RYKKINN,"BILVERKSTED01, KONTROLLORGAN01",924538686,31499
MINNESUND BIL AS,FEIRINGVEGEN 176,2092,MINNESUND,BILVERKSTED01,986296069,30734
TOYOTA OSLO AS Strømsveien,Strømsveien 223,668,OSLO,BILVERKSTED01,950273038,32261
SØRØYA BUSS & DEKKSERVICE AS,Bårdselvveien 5,9590,HASVIK,HJUL,913037146,32243
Bilia Norge AS  Lillehammer,Korgvegen 25,2619,LILLEHAMMER,"BILVERKSTED01, KONTROLLORGAN01",976023188,2615
CARGLASS AS AVD TRONDHEIM,Ivar Lykkes veg 4,7075,TILLER,BILGLASS,985758220,28791
ASKØY AUTO SERVICE  as,Davangerveien 298,5310,HAUGLANDSHELLA,"BILVERKSTED01B, KONTROLLORGAN01B",840921352,6563
chassiservice AS Lastebilpåbygg,Furuhallveien 8E,3512,HØNEFOSS,PABYGGER,987268026,3415
BJØRN MYHRENS VERKSTED AS,Barmanfjord,7250,MELANDSJØ,"BILVERKSTED01B, KONTROLLORGAN01B",951050504,8319
RØROS SOLFILM OG TUNINGSERVICE AS,TOLLEF BREDALS VEI 7,7374,RØROS,BILVERKSTED01,925244309,31656
DEKKCENTERET AS,LERSTADVEGEN 302,6014,ÅLESUND,HJUL,928336042,30238
Tunga Bil AS,Tungasletta 10,7047,TRONDHEIM,"BILVERKSTED01, KONTROLLORGAN01",914548292,28112
Bergersen Bil og Karosseri AS,Østlifaret 9,1476,RASTA,"BILVERKSTED01, KONTROLLORGAN01, SKADEVERKSTED02",912437019,12412
G.T.OSLO AS,Furumoen 51,2240,MAGNOR,MOTORSYKKELOGMOPED,819639272,32252
